ID	CREATED TIME	AGENT	CAT	SUJECT	CONTENT	
10	2017-12-04T23:05:23.000+01:00	CLIE	Chèque	opposition cheque	bonjour j'ai verse a un plombier un cheque d'acompte pour travaux il me dit l'avoir perdu. il m'a donc fait une attestation ecrite que je joint au message. le numero de cheque est NNNNNNN est ce necessaire de faire opposition? j'avais rempli l'ordre. y a t il un cout? merci f XXXXXX	le numero de cheque est NNNNNNN est ce necessaire de faire opposition? j'avais rempli l'ordre. y a t il un cout?
12	2017-12-14T20:41:26.000+01:00	CLIE	Rendez-vous	sortie de parts sociales	monsieur XXXXX, je souhaite faire sortir les autres parts sociales (investissements en federal ethiques probablement)des le mois de janvier. possible d' envisager rdv dans la premiere semaine de janvier ? merci pour votre attention. cordialement. p. XXXXXXX	 je souhaite faire sortir les autres parts sociales (investissements en federal ethiques probablement)des le mois de janvier. possible d' envisager rdv dans la premiere semaine de janvier ?
12	2017-12-15T13:57:18.000+01:00	CLIE	Rendez-vous	re : re: sortie de parts sociales	monsieur XXXXX, disponible le N janvier, j' ai opte pour un rendez-vous avec votre binome mr XXXXX. cordialement. p. XXXXXXX	
13	2017-12-31T11:05:33.000+01:00	CLIE	Rendez-vous, Taxation,  assurance-vie	taxation sur les interets assurance-vie	monsieur XXXXX, en prevision du rendez-vous du N janvier, je m' interroge sur la taxation assurance-vie mise en place a compter du NN/NN. besoin d' avoir une information precise sur ce que je possede afin de reorienter au besoin pour ne pas etre soumis a cette taxation. ce qui concerne le soutien a l' economie ne serait pas concerne par cette taxe. souhaite evoquer cela avec vous. cordialement. p. XXXXXXX	
14	2017-12-07T12:49:46.000+01:00	CLIE	Prélèvement	renseignements sur un prelevement	bonjour pouvez vous me dire cest quoi ce prelevement du N decembre foriou?	pouvez vous me dire cest quoi ce prelevement du N decembre foriou?
15	2017-12-02T14:44:39.000+01:00	CLIE	Carte bancaire, 	mail du NN novembre dernier	bonjour, avez vous aussi un retour sur notre echange du NN novembre dernier (cf mail ci dessous)? a saint jalmes angelique objet re : re: re : re: carte rechargeable XXXXXX date NN novembre NNNN [votre message a ete lu par votre conseiller] bonjour, je n'ai toujours pas un acces direct depuis ma racine (XXXXX XXXXXX) au releve de la carte bemix. pour y parvenir, je dois passer par mes cartes -> ...tutelles, enfants-> carte bemix puis cliquer sur le solde restant qui apparait. je ne sais pas si c'est normal ou s'il y a moyen de faire plus simple? bonne journee XXXXXX XXXXX - voir les messages precedents - message non contractuel	avez vous aussi un retour sur notre echange du NN novembre dernier (cf mail ci dessous)?  je ne sais pas si c'est normal ou s'il y a moyen de faire plus simple?
16	2017-12-02T14:41:55.000+01:00	CLIE	Assurance-vie	rachat assurance vie	bonjour, comme convenu lors de notre dernier rdv du NN octobre dernier, nous vous sollicitons pour racheter NNk€ sur chacun de nos contrats previ options respectifs, a savoir : previ options XXXXX XXXXXX previ options XXXXX XXXXXXXXXX nous avons besoin de disposer de ces NNk€ sur notre compte courant joint principal pour le NN decembre NNNN. cordialement XXXXXX et XXXXXXXXXX XXXXX	
16	2017-12-06T10:52:35.000+01:00	CLIE	Assurance-vie, Prévi-option	re : re: rachat assurance vie	bonjour, ce pervi option a ete nanti lors de la contraction du pret pour l'acquisition d'une chambre ehpad. aujourd'hui, le capital restant du est bien inferieur au montant du previ-option. ce que j'ai compris lors de notre dernier entretien avec mme saint james est que vous pouviez lever le nantissement, effectuer le rachat puis remettre le nantissement. logiquement, il pourrait devenir partiel pour l'avenir et XXXXXspondre au montant du capital restant du a ce jour. mme saint james reste t'elle notre conseillere? cordialement XXXXXX XXXXX	ce que j'ai compris lors de notre dernier entretien avec mme saint james est que vous pouviez lever le nantissement, effectuer le rachat puis remettre le nantissement. logiquement, il pourrait devenir partiel pour l'avenir et XXXXXspondre au montant du capital restant du a ce jour.
16	2017-12-06T10:54:18.000+01:00	CLIE	Assurance-vie, Prévi-option	re : re: rachat assurance vie	ce qui a ete convenu est de retirer la meme somme sur chacun des N previ options	
16	2017-12-13T08:23:51.000+01:00	CLIE	Assurance-vie, Prévi-option, Chèque	rachat assurance vie	bonjour, je reviens aux nouvelles concernant le rachat de NNNNN euros sur chacun de nos previ options. me concernant, l'operation a bien ete executee. les NNNNN euros sont bien sur notre compte cheque courant. je vous en remercie. par contre, qu'en est il pour celui de ma femme? cordialement XXXXXX XXXXX	qu'en est il pour celui de ma femme?
18	2017-12-27T12:17:11.000+01:00	CLIE	Virement, Chèque	retard de virement	il y a un retard pour un virement que je devais avoir. j ai un cheque qui doit arrive merci	
19	2017-12-29T13:23:36.000+01:00	CLIE	Virement	virement	bonjour je vais recevoir mon virement mardi merci	
20	2017-12-07T11:55:47.000+01:00	CLIE	Dossier, Bulletin de salaire	pret de NNNN euros	bonjour je vous ai envoye samedi matin le pret signe avec une copie de mon dernier bulletin de salaire. merci de me confirmer que le dossier est ok de votre cote et de me debloquer un premier montant de NNNN euros, comme indique sur le post it joint a mon envoi courrier. cdt XXXXXXX XXXXXXX NNNNNNNNNN	merci de me confirmer que le dossier est ok de votre cote et de me debloquer un premier montant de NNNN euros, comme indique sur le post it joint a mon envoi courrier.
21	2017-12-12T12:37:22.000+01:00	CLIE	Déblocage	deblocage de NNNN euros sur pret	madame XXXXXXX bonjour merci de debloquer NNNN euros sur mon pret de NNNN euros. il me restera donc NNNN euros a debloquer ulterieurement. cdt XXXXXXX XXXXXXX NNNNNNNNNN	merci de debloquer NNNN euros sur mon pret de NNNN euros.
22	2017-12-30T09:54:14.000+01:00	CLIE	Livret	point compte le guevel	"bonjour madame XXXXX , en consultant tous mes comptes propres et mandataires je m'apercois que notre fils sacha le XXXXXX n'a pas de comptes propres cmb.( livret etc ..) mon autres fils ugo possede lui un livret bleu merci de me preciser si sacha a des comptes cmb , si oui , merci de me permettre d'y acceder afin de faire un bilan general de nos comptes cmb, que je consulte "" il est vrai"" rarement . bien cordialement XXXXXXX le XXXXXX"	merci de me permettre d'y acceder afin de faire un bilan general de nos comptes cmb, que je consulte "" il est vrai"" rarement .
23	2017-12-30T09:58:57.000+01:00	CLIE	Procuration	procuration sacha le guevel	bonjour suite a mon dernier mail et conseil aupres du standard telephonique cmb guingamp merci de mettre en place une procuration pour mon acces au compte de sacha qui vient f'avoir NN ans en NNNN. je suis deja mandataire pour mon autre fils ugo le XXXXXX, je me tiens a votre entiere disposition pour cette mise en oeuvre cordialement XXXXXXX le XXXXXX	suite a mon dernier mail et conseil aupres du standard telephonique cmb guingamp merci de mettre en place une procuration pour mon acces au compte de sacha qui vient f'avoir NN ans en NNNN.
24	2017-12-23T23:07:01.000+01:00	CLIE	Changement d’adresse	changement d'adresse	bonjour, voici comme souhaite un justificatif pour notre changement d'adresse a mr XXXXX XXXXXXX et moi meme. merci de bien vouloir effectuer le changement pour lui aussi. bonnes fetes. a bientot melle XXXXXXX XXXX	merci de bien vouloir effectuer le changement pour lui aussi.
25	2017-12-30T11:21:40.000+01:00	CLIE	Carte bancaire, compte bancaire	compte leo	bonjour mon fils XXX ayant N comptes pour peu d'argent, je souhaiterai n'en garder qu'un seul. il en ouvrira d'autres quand il commencera a travailler . merci de tout regrouper sur un seul compte, le plus pratique pour lui pour qu'il puisse avoir une carte de paiement plus tard. bonnes fetes de fin d'anneee cordialement. XXXX XXXXXX	 je souhaiterai n'en garder qu'un seul. il en ouvrira d'autres quand il commencera a travailler . merci de tout regrouper sur un seul compte, le plus pratique pour lui pour qu'il puisse avoir une carte de paiement plus tard. 
26	2017-12-31T16:23:10.000+01:00	CLIE	Crédit immobilier	credit immobilier	bonjour monsieur, mes proprietaires mettent en vente l'appartement que j'occupe actuellement. ils me le proposent au prix de NNN NNN euros. je souhaiterais que vous me fassiez une simulation de credit immobilier sur NN ans sachant que j'ai NN ans, aucun apport financier et que j'envisage serieusement de divorcer. je serai donc le seul acquereur et je ne peux pas verser des mensualites superieures a N NNN euros. je dois donner une reponse aux proprietaires avant le NN fevrier NNNN. merci de votre reponse. cordialement, XXXXXXX jaguin XXXXX	je souhaiterais que vous me fassiez une simulation de credit immobilier sur NN ans sachant que j'ai NN ans, aucun apport financier et que j'envisage serieusement de divorcer.
27	2017-12-13T13:43:23.000+01:00	CLIE	Déblocage	pret	bonjour, je souhaiterais savoir s'il reste de l'argent a debloquer sur mon pret. si oui, combien. cordialement mme XXXX	 je souhaiterais savoir s'il reste de l'argent a debloquer sur mon pret. si oui, combien. cordialement mme XXXX
28	2017-12-07T20:08:33.000+01:00	CLIE	Fonds de compte,	demande de renseignements	madame XXXXXXXXXX, bonsoir XXXXXX m'a fait part du refus de pret en attendant le divorce ma question est la suivante : puis je lui avancer les fonds en attendant le divorce pour qu'elle puisse avancer dans ses travaux, c'est a dire que je vais payer les factures avec l'argent de la vente de la maison est ce qu'elle pourra vous presenter les factures acquittees lorsqu'elle fera son pret ? Cette possibilite vous parait-elle realisable ? cordialement mr XXXXXXXX XXXX	puis je lui avancer les fonds en attendant le divorce pour qu'elle puisse avancer dans ses travaux, c'est a dire que je vais payer les factures avec l'argent de la vente de la maison est ce qu'elle pourra vous presenter les factures acquittees lorsqu'elle fera son pret ? 
29	2017-12-18T21:00:24.000+01:00	CLIE	Prévi-options, Compte chèque	retrait placement previ options	madame, bonsoir serait t-il possible de faire un retrait du compte previ options au compte cheque de NNNN€ cordialement mr XXXXXXXX XXXX	serait t-il possible de faire un retrait du compte previ options au compte cheque de NNNN�
30	2017-12-04T18:16:23.000+01:00	CLIE	Rélève du compte	sci avenir	bonjour, pourriez vous m'adresser un releve du compte sci avenir, nous en avons besoin pour la dissolution de la sci merci d'avance XXX XXXXXXX, PHONEsur l'adresse mail MAIL	pourriez vous m'adresser un releve du compte sci avenir, nous en avons besoin pour la dissolution de la sci
31	2017-12-05T06:59:24.000+01:00	CLIE	Prélèvement, Virement, Compte bancaire, Frais	prelevements	bonjour madame, c'est par ce courriel que je vous demande de ne pas faire opposition ou rejeter les prelevements de orange et direct energie. je vous informe egalement qu'un virement de la caf (NNN euros) ainsi que de monsieur XXXXX (NNN euros) va etre effectue sur mon compte bancaire dans le courant de la semaine. en ne faisant pas de rejet d'impaye ainsi que d'opposition, cela m'evitera d'avoir des frais supplementaires. je vous remercie par avance. bonne journee. madame XXXXXXXXX	
31	2017-12-06T07:00:36.000+01:00	CLIE	Prélèvement, Rendez-vous	re : re: prelevements	bonjour, le courriel precedent indiquait que je ne souhaite pas faire opposition aux prelevements orange et direct energie. les prelevements ont ete effectues et c'est que je voulais et il faut laisser tel quel. j'ai bien recu votre message quand au rendez-vous, cependant il sera plus simple pour moi de se rencontrer debut XXXvier. je vous remercie infiniment. pour information, je ne suis pas joignable par telephone, mais uniquement par courriel. je vous tiens au courant des que notre telephone fixe est change. bonne journee XXXXXXXXXX XXXXXXXXX 	
32	2017-12-26T17:44:07.000+01:00	CLIE	Assurance	assurances pret	bonjour, suite a nos pret realise chez vous et l’arret de travail a mon mari, pouvez vous me dire si il reprend a mi temps theraXXXtique si les assurances vont continuees a prendre en charge les mensualites. merci d'avance cordialement mme XXXXXX	pouvez vous me dire si il reprend a mi temps theraXXXtique si les assurances vont continuees a prendre en charge les mensualites.
33	2017-12-21T12:07:25.000+01:00	CLIE	Contrat d’assurance	courrier ar	bonjour monsieur XXXXX, suite a la communication que nous avons eu concernant la resiliation de tous mes contrats d'assurance.je souhaiterai avoir des precisions sur le fait que je ne peux pas rompre ceux -ci malgre la loi sans date d'anniversaire.en ce qui concerne la mutuelle partage avec mon fils gregoire sa mere prends le relai avec sa mutuelle de travail. bien cordialement. mr XXXXXX XXXXXX.	je souhaiterai avoir des precisions sur le fait que je ne peux pas rompre ceux -ci malgre la loi sans date d'anniversaire.
35	2017-12-16T13:11:05.000+01:00	CLIE	Déblocage, Vivrement, Compte chèque	le virement a fjt suite au credit	bonjour madame XXXXX j'ai vu que l'argent avait te debloquer du credit que vous m'avez propose pour rembourser le foyer j'ai vu qu'il etait arrive sur mon compte je voulais savoir si vous pouvez faire le virement directement et le reste sur mon compte cheque merci beaucoup	 je voulais savoir si vous pouvez faire le virement directement et le reste sur mon compte cheque
36	2017-12-08T09:49:06.000+01:00	CLIE	Assurance	re : assurance auto	bonjour, je vous remercie de votre retour. avez-vous egalement eu confirmation du fait que l'avantage privilege de N% et l'avantage du paiement annuel de N% etaient cumulables tel que vous me l'avez indique? cordialement, XXXXX XXXXXXX 	avez-vous egalement eu confirmation du fait que l'avantage privilege de N% et l'avantage du paiement annuel de N% etaient cumulables tel que vous me l'avez indique?
37	2017-12-02T13:05:57.000+01:00	CLIE		re: re: assurance	bonjour, oui je veux bien une simulation et est ce que elle marcherait directement ? cordialement	je veux bien une simulation et est ce que elle marcherait directement ?
38	2017-12-04T11:14:11.000+01:00	CLIE	Changement d’adresse	changement d’adresse	bonjour, je voulais vous informer que je suis revenu vivre chez mes parents donc si vous pouviez faire le changement d’adresse je vous amenerais un justificatif de domicile cordialement	si vous pouviez faire le changement d’adresse je vous amenerais un justificatif de domicile
39	2017-12-01T14:34:13.000+01:00	CLIE	Virement	virement ok pour decouvert imprevu	bonjour, pour faire suite a votre appel, je viens de faire un virement vers notre compte commun pour retablir la situation. merci de m'avoir prevenue et j'espere que nous n'aurons pas trop d'impacts financiers. cdt, XXXXXX XXXXXXX	merci de m'avoir prevenue et j'espere que nous n'aurons pas trop d'impacts financiers.
40	2017-12-13T09:25:52.000+01:00	CLIE	Clôture compte, Fermeture du compte	demande de fermeture du compte titres ordinaire NNNNNNN	bonjour mme XXXXXXXXXX, vous trouverez ci-joint ma demande officielle pour la fermeture de mon compte titres ordinaire. ne souhaitant plus pour des raisons philosophiques participer a ce monde de la finance qui marche sur la tete, j'ai vendu le peu d'actions dont je disposais et ne compte surtout pas reinvestir dans ces supports. merci de veiller a la fermeture avant cette fin d'annee. bien cordialement, kristel XXXXXXXX.	 merci de veiller a la fermeture avant cette fin d'annee.
40	2017-12-17T23:01:18.000+01:00	CLIE	Frais	re : re: demande de fermeture du compte titres ordinaire NNNNNNN	bonjour, merci pour votre action rapide concernant la fermeture du compte titres. nous allons avoir une possibilite de paiement en plusieurs fois sans frais pour la cuisine, donc plus besoin de financement exterieur, pour le moment. -) bonne semaine, kristel.	
41	2017-12-13T09:31:16.000+01:00	CLIE	Recherche de financement	projet cuisine equipee - recherche financement	re-bonjour, nous pensons changer notre cuisine, devis en cours, autour de NNNN/NNNN€. recherche d'un financement. le pret travaux cel serait il interessant ? avez vous un meilleur taux ? mensualite max NNN€, le plus court possible -) merci. Kristel.	 le pret travaux cel serait il interessant ? avez vous un meilleur taux ? 
42	2017-12-12T18:29:59.000+01:00	CLIE	Compte de chèque	cheque de banque	bonsoir, voici le montant du cheque de banque a faire pour le visa de lou, soit NNN,NN€. bien cordialement, elizabeth le XXXX	
43	2017-12-12T16:31:20.000+01:00	CLIE	Déblocage, Prévèlement	deblocage de fonds	bonjour, pouvez-vous debloquer NNNN,NN€ du pret etudiant de lou pour le prelevement de l'ecole. en vous remerciant, elizabeth le XXXX	ouvez-vous debloquer NNNN,NN€ du pret etudiant de lou pour le prelevement de l'ecole. 
46	2017-12-23T09:06:13.000+01:00	CLIE	Virement	compte courant	bonjour XXXXXXXXXX,je vous souhaite d abord de tres bonnes fetes et je viens vers vous,car je m apercois que mon salaire n est pas arrive. je vous demande si on peut faire un virement de NNN euros de mon credit sur mon compte. en vous remerciant par avance je vous souhaite encore un bon reveillon. cordialement mr le XXXXXXX	je vous demande si on peut faire un virement de NNN euros de mon credit sur mon compte. 
47	2017-12-01T09:52:07.000+01:00	CLIE	Rendez-vous, Credit agricole	mutuelle	bonjour XXXXXXXXXX pourrions nous convenir d un rendez vous a propos de la mutuelle.en fait ma femme trouve qu elle paye un peu trop au credit agricole j aurais voulu qu on vois pour savoir s il etait possible de tout regrouper chez vous. pour moi madame et la petite. en vous souhaitant une bonne journee cordialement. mr le XXXXXXX	 pourrions nous convenir d un rendez vous a propos de la mutuelle.en fait ma femme trouve qu elle paye un peu trop au credit agricole j aurais voulu qu on vois pour savoir s il etait possible de tout regrouper chez vous. 
48	2017-12-07T13:52:48.000+01:00	CLIE	Franchise de l’assurance	infos	bonjour juste quelques informations supplementaires concernant le pret. quelle est la franchise de l’assurance? au bout de combien de temps le pret est pris en charge en cas de besoin? est ce possible de faire autrement qu’une hypotheque ? (caution,nantissement) comment se deroulerait le transfert de comptes de mon conjoint? merci cordialement	quelle est la franchise de l’assurance? au bout de combien de temps le pret est pris en charge en cas de besoin? est ce possible de faire autrement qu’une hypotheque ? (caution,nantissement) comment se deroulerait le transfert de comptes de mon conjoint?
48	2017-12-16T09:10:15.000+01:00	CLIE	Crédit logement	re: re: infos	bonjour, pour la caution credit logement on recupere une partie de cette somme au solde du pret? si l’on veut vendre la maison, comment ca se passe si elle est sous hypotheque ? merci bonne journee cordialement	pour la caution credit logement on recupere une partie de cette somme au solde du pret? si l’on veut vendre la maison, comment ca se passe si elle est sous hypotheque ? 
48	2017-12-16T18:44:26.000+01:00	CLIE	Fonds de compte	re: re: re: re: infos	ok merci.mais si nous vendons la maison le prix que l’on recupere peut couvrir cette mainlevee ? nous ne sommes pas oblige d’avoir des fonds personnels avant de vendre pour faire cette mainlevee merci cordialement	 si nous vendons la maison le prix que l’on recupere peut couvrir cette mainlevee ?
48	2017-12-19T09:04:31.000+01:00	CLIE	Rendez-vous	re: re: re: re: re: re: infos	ok super merci. est ce possible de prendre rendez vous apres les fetes pour vous rendre le dossier et commencer les demarches ? est ce que mon conjoint doit etre present ? merci bonne journee cordialement	est ce possible de prendre rendez vous apres les fetes pour vous rendre le dossier et commencer les demarches ? est ce que mon conjoint doit etre present ?
48	2017-12-21T16:58:55.000+01:00	CLIE	Rendez-vous	re: re: re: re: re: re: re: re: infos	bonjour, je serais disponible le jeudi NN dans l’apres-midi.est possible pour vous? cordialement	 je serais disponible le jeudi NN dans l’apres-midi.est possible pour vous?
49	2017-12-02T11:22:15.000+01:00	CLIE	Clôture compte, Fermeture du compte	cloture comptes	bonjour, suite a ma demande pour cloturer mon compte cel du cmb, je vous ai adresse le contrat de cloture signe accompagne du rib de ma nouvelle banque comme convenu. je recois ce jour une enveloppe de votre part contenant mon rib caisse d'epargne et le post it que j'avais joint. je ne comprends pas votre demande, merci de m'eclairer. en allant ce jour sous mon espace client cmb, je vois que figure la somme de NNNN,NN€. je demande une bonne fois pour toute le transfert de mes comptes. merci de m'indiquer si j'ai de nouvelles demarches a effectuer. cordialement. XXXXXX XXXXXXX	 je ne comprends pas votre demande, merci de m'eclairer. en allant ce jour sous mon espace client cmb, je vois que figure la somme de NNNN,NN€. je demande une bonne fois pour toute le transfert de mes comptes. merci de m'indiquer si j'ai de nouvelles demarches a effectuer. 
49	2017-12-10T10:33:01.000+01:00	CLIE	Clôture compte, Demande d’une attestation	re : re: cloture comptes	bonjour, je me permets de revenir vers vous concernant mon changement de banque. j'attends que le versement de mes comptes cmb soit N NNN,NN € se fasse sur mon nouveau compte caisse d'epargne. pour ce faire, je vous avais adresse mon rib comme demande. j'avais egalement demande une attestation de droits au pret acquis par rapport a mon pel. merci de m'en informer ou de donner suite a ma demande. cordialement. mme XXXXXXX 	 j'avais egalement demande une attestation de droits au pret acquis par rapport a mon pel. merci de m'en informer ou de donner suite a ma demande.
49	2017-12-13T09:18:11.000+01:00	CLIE	Fonds de compte	re : re: re : re: cloture comptes	bonjour, veuillez trouver ci-joint mon rib caisse d'epargne sur lequel les fonds cmb sont a transferer. cordialement. XXXXXX XXXXXXX	
49	2017-12-16T11:14:11.000+01:00	CLIE	Clôture compte	re : re: re : re: re : re: cloture comptes	bonjour, veuillez trouver ci-joint un courrier refusant le transfert de mon pel, je demande sa cloture. merci d'avance d'en prendre connaissance. cordialement. s XXXXXXX 	
50	2017-12-01T19:13:50.000+01:00	CLIE	Changement d’adresse	nouvelle adresse	bonsoir,je vous envoies une piece jointe pour ma nouvelle adresse a partir u NN/NN/NNNN. veuillez agrees mes salutations.	
51	2017-12-07T19:22:07.000+01:00	CLIE	Demande de documents	demande de documents important	bonjour pouvez-vous m'envoyer en piece jointe le releve de mes operations des libelles prlv cifd effectues depuis le N aout NNNN au NN decembre NNNN. j'ai essaye d'effectuer l'operation seul mais le site ne va pas au-dela de decembre NNNN. cordialement, XXXXXXXX XXXXXXX	 pouvez-vous m'envoyer en piece jointe le releve de mes operations des libelles prlv cifd effectues depuis le N aout NNNN au NN decembre NNNN. 
53	2017-12-23T11:26:34.000+01:00	CLIE	Virement	re : versement NNNNN.NN €	bonjour, je valide cette proposition,sans frais. cordialement, XXXX XXXXXXX.	
54	2017-12-07T09:13:25.000+01:00	CLIE	Compte de chèque	re : re: re : cheque suite	bonjour, je n'ai toujours pas la reponse de votre directeur. cordialement, XXXX XXXXXXX.	
55	2017-12-03T11:20:09.000+01:00	CLIE	Changement d’adresse de mail	erreur adresse mail	bonjour, je m'apercois que notre adresse mail n'est pas la bonne dans votre systeme. merci de la rectifier en indiquant : MAIL bien cordialement. XXXXXXXXXX XXXXXXX	
56	2017-12-18T10:30:16.000+01:00	CLIE	Ouverture du compte	naissance	bonjour mme XXXXXX, j'ai verse sur le compte de XXXXXXX de l'argent, il me semblait que le cmb offrait NN euros pour l'ouverture du compte suite a la naissance?. bien cordialement, XXXXXX XXXXX	 il me semblait que le cmb offrait NN euros pour l'ouverture du compte suite a la naissance?.
57	2017-12-29T18:47:41.000+01:00	CLIE	Remerciement	re : virement maxence	bonjour mme XXXXXX, je vous remercie pour le message, en retour je vous souhaite beaucoup de bonnes choses a venir pour votre avenir professionnel et vous souhaite a vous et votre famille beaucoup de bonheur et prosperite pour l'annee a venir. bien cordialement, XXXXXX XXXXX	
58	2017-12-03T15:23:45.000+01:00	CLIE	Changement d’adresse	carnet de remise de cheques	bonjour mme le XXXX, pourriez-vous transmettre a l'adresse de mes beaux-parents un carnet de remise de cXeques de notre compte cmb morlaix. merci d'envoyer a : m & mme XXXXXXX XXXXXXXX cXez m & mme Xeinry auguste le Xaut brialaine NNNNN moulins d'avance, je vous remercie. cordialement XXXXXXXX XXXXXXX	pourriez-vous transmettre a l'adresse de mes beaux-parents un carnet de remise de cXeques de notre compte cmb morlaix. 
58	2017-12-08T09:43:20.000+01:00	CLIE	Compte de chèque	re : re: carnet de remise de cheques	bonjour madame le XXXX je parlais du compte joint m et mme XXXXXXX XXXXXXXX n°NNNNNNN cordialement XXXXXXXX XXXXXXX	
